## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT sample_1_filtered.bam --OUTPUT sample_1_marked_duplicates.bam --METRICS_FILE sample_1_dup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 17 11:14:41 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
library	0	62206	0	0	0	907	0	0.014581	2112392

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	60552	60552
2.0	1.970981	705	705
3.0	2.913786	20	20
4.0	3.829231	10	10
5.0	4.718112	4	4
6.0	5.581198	0	0
7.0	6.419239	0	0
8.0	7.23296	1	1
9.0	8.023069	2	2
10.0	8.790249	0	0
11.0	9.535167	1	1
12.0	10.258468	0	0
13.0	10.96078	0	0
14.0	11.642712	2	2
15.0	12.304855	0	0
16.0	12.947783	0	0
17.0	13.572055	0	0
18.0	14.17821	0	0
19.0	14.766776	0	0
20.0	15.338263	0	0
21.0	15.893165	1	1
22.0	16.431965	0	0
23.0	16.95513	0	0
24.0	17.463113	0	0
25.0	17.956355	0	0
26.0	18.435284	0	0
27.0	18.900315	0	0
28.0	19.351851	0	0
29.0	19.790284	0	0
30.0	20.215995	0	0
31.0	20.629352	0	0
32.0	21.030713	0	0
33.0	21.420428	0	0
34.0	21.798834	0	0
35.0	22.166259	0	0
36.0	22.523021	0	0
37.0	22.869431	0	0
38.0	23.205789	1	1
39.0	23.532385	0	0
40.0	23.849505	0	0
41.0	24.157422	0	0
42.0	24.456403	0	0
43.0	24.746709	0	0
44.0	25.02859	0	0
45.0	25.302291	0	0
46.0	25.56805	0	0
47.0	25.826097	0	0
48.0	26.076655	0	0
49.0	26.319943	0	0
50.0	26.556171	0	0
51.0	26.785544	0	0
52.0	27.00826	0	0
53.0	27.224514	0	0
54.0	27.434493	0	0
55.0	27.638378	0	0
56.0	27.836346	0	0
57.0	28.02857	0	0
58.0	28.215215	0	0
59.0	28.396445	0	0
60.0	28.572415	0	0
61.0	28.743279	0	0
62.0	28.909185	0	0
63.0	29.070276	0	0
64.0	29.226692	0	0
65.0	29.37857	0	0
66.0	29.52604	0	0
67.0	29.669231	0	0
68.0	29.808267	0	0
69.0	29.943268	0	0
70.0	30.074351	0	0
71.0	30.201631	0	0
72.0	30.325217	0	0
73.0	30.445217	0	0
74.0	30.561734	0	0
75.0	30.674871	0	0
76.0	30.784724	0	0
77.0	30.891389	0	0
78.0	30.994959	0	0
79.0	31.095524	0	0
80.0	31.19317	0	0
81.0	31.287983	0	0
82.0	31.380045	0	0
83.0	31.469435	0	0
84.0	31.556231	0	0
85.0	31.640508	0	0
86.0	31.72234	0	0
87.0	31.801797	0	0
88.0	31.878948	0	0
89.0	31.95386	0	0
90.0	32.026599	0	0
91.0	32.097226	0	0
92.0	32.165805	0	0
93.0	32.232393	0	0
94.0	32.297049	0	0
95.0	32.359828	0	0
96.0	32.420786	0	0
97.0	32.479975	0	0
98.0	32.537447	0	0
99.0	32.59325	0	0
100.0	32.647434	0	0

